sta_id,network,station,latitude,longitude,elevation,starttime,endtime,site_name
4O.WB11,4O,WB11,31.92770654,-103.8004139,905.0,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
4O.WB12,4O,WB12,31.898132,-103.7642735,886.0,2022-08-26 19:00:00.000,2030-11-04 20:44:14,DB Ranch
4O.CV01,4O,CV01,31.8504,-104.0889,983.0,2022-11-08 18:13:10.000,2030-11-04 20:44:14,Chevron WTX40
4O.AT01,4O,AT01,31.80227,-101.73096,815.0,2023-01-22 18:00:00.000,2030-11-04 20:44:14,Shelby SWD #2
4O.MID01,4O,MID01,31.949,-102.2322,880.0,2023-02-17 17:10:00.000,2030-11-04 20:44:14,DiamondBack Midland 01
4O.BP01,4O,BP01,31.8409,-103.8244,806.0,2023-02-03 12:00:00.000,2030-11-04 20:44:14,BPX
4O.MO01,4O,MO01,32.5118,-101.4394,794.0,2023-03-05 18:00:00.000,2030-11-04 20:44:14,Outlaw SWD
4O.SM01,4O,SM01,32.1913,-101.9041,852.0,2023-06-01 00:00:00.000,2030-11-04 20:44:14,Saguaro SWD
4O.MBBB3,4O,MBBB3,31.843938,-101.709457,727.0,2023-01-19 00:00:00.000,,4O-MBBB3
4O.MBBB4,4O,MBBB4,31.830239,-101.89224,714.0,2023-01-19 00:00:00.000,,4O-MBBB4
4O.MBBB5,4O,MBBB5,32.282248,-102.082661,779.0,2023-01-20 00:00:00.000,,4O-MBBB5
4O.GV02,4O,GV02,32.35144,-101.39524,779.0,2023-07-09 20:49:36.000,2030-11-04 20:44:14,Long 350 SWD
4O.GV01,4O,GV01,32.4065,-101.6023,807.0,2023-07-09 20:50:49.000,,Knott SWD
4O.MG01,4O,MG01,32.402017,-101.952749,856.0,2023-10-01 00:00:00.000,,MAGUEY OPERATING
4O.SM03,4O,SM03,32.288,-101.8702,863.0,2023-12-10 00:00:00.000,,Corfu #2 SWD
4O.LWM3,4O,LWM3,31.4101,-103.608,821.0,2023-12-10 00:00:00.000,,Beaver/Goose
4O.GV03,4O,GV03,32.11,-101.6395,765.0,2024-02-05 00:00:00.000,,Lomax SWD
4O.HP01,4O,HP01,32.4498025,-101.2256703,736.0,2022-01-03 16:15:00.000,,High Peak
4O.CW01,4O,CW01,32.19525,-101.70247,764.0,2024-02-18 23:17:07.000,,Elk Creek SWD
4O.OE01,4O,OE01,32.48091,-101.75484,830.0,2024-03-20 20:20:23.000,,Ackerly SWD
4O.HP02,4O,HP02,32.52375611,-101.19830556,698.0,2024-04-11 15:40:58.000,,High Peak
4O.EE01,4O,EE01,32.244546,-102.038458,999.0,2024-05-30 12:00:00.000,2024-09-11 17:00:00,Endeavor
4O.EE02,4O,EE02,32.306603,-101.999498,999.0,2024-08-21 17:31:00.000,,Endeavor
4O.GV04,4O,GV04,32.3192,-101.8344,817.0,2024-08-20 15:18:32.000,,3601 SWD
4O.EE03,4O,EE03,31.61121,-101.761496,999.0,2024-09-11 17:15:00.000,,Endeavor
4O.EE04,4O,EE04,32.321635,-101.998815,999.0,2024-09-11 20:30:00.000,,Endeavor
4O.MBBB6,4O,MBBB6,31.917202,-101.92309,819.0,2024-07-24 00:00:00.000,,4O-MBBB6
