resource_id,time,seed_id,filter_id,method_id,horizontal_slowness,backazimuth,onset,phase_hint,polarity,evaluation_mode,event_time,evaluation_status,creation_time,author,agency_id,event_id,network,station,location,channel,uncertainty,lower_uncertainty,upper_uncertainty,confidence_level
smi:local/df31184f-df55-4cda-80f5-b5fb41a63270,2023-06-10 04:43:56.492800,GCI.KKFLS..196,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,196,,,,
smi:local/629dea30-bd5e-4c06-b50f-f6d3ce6e894d,2023-06-10 04:43:56.752800,GCI.KKFLS..197,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,197,,,,
smi:local/cf3e10f1-5f71-4086-a10f-070afee4017c,2023-06-10 04:43:55.472800,GCI.KKFLS..198,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,198,,,,
smi:local/14c683b7-75dd-4c0b-b48a-633eb4a66825,2023-06-10 04:43:56.732800,GCI.KKFLS..202,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,202,,,,
smi:local/998796d4-67c1-4fb0-8b72-51568783e51e,2023-06-10 04:43:56.852800,GCI.KKFLS..203,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,203,,,,
smi:local/fb236453-03ad-4181-802b-efe1eb5edc11,2023-06-10 04:43:57.172800,GCI.KKFLS..204,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,204,,,,
smi:local/f23e2806-6094-494b-b3bd-a0a8163e972c,2023-06-10 04:43:56.852800,GCI.KKFLS..205,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,205,,,,
smi:local/258c27d6-b265-485b-9d61-475e5742c8fc,2023-06-10 04:43:57.212800,GCI.KKFLS..206,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,206,,,,
smi:local/8dd2271f-6e3c-4323-bab0-1e7bc1361571,2023-06-10 04:43:57.072800,GCI.KKFLS..207,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,207,,,,
smi:local/056f76c0-a2b1-4432-aa37-25dbd7bf41c4,2023-06-10 04:43:56.612800,GCI.KKFLS..208,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,208,,,,
smi:local/c95649da-e580-4eb3-af88-9294f65b25ed,2023-06-10 04:43:56.692800,GCI.KKFLS..209,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,209,,,,
smi:local/22aa2f6e-7d2b-4501-834f-931c4b05083c,2023-06-10 04:43:56.792800,GCI.KKFLS..210,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,210,,,,
smi:local/d2ed7622-df0f-4bf1-8202-ca6d7512d094,2023-06-10 04:43:56.592800,GCI.KKFLS..211,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,211,,,,
